GeneSymbol	Hyp1	Hyp2	Norm1	Norm2
DDX11L2	0	0	0	0
DDX11L1	0	0	0	0
WASH7P	0	0	0	0
MIR6859-1	0	0	0	0
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4G4P	0	0	0	0
ENSG00000290826	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
ENSG00000238009	0	0	0	0
ENSG00000239945	0	0	0	0
CICP27	5	0	1	9
ENSG00000268903	0	0	0	0
ENSG00000269981	6	0	0	0
ENSG00000239906	0	0	0	0
ENSG00000241860	0	1	2	0
RNU6-1100P	0	0	0	0
ENSG00000241599	1	0	0	0
DDX11L17	0	0	0	0
WASH9P	8	0	2	6
MIR6859-2	0	0	0	0
ENSG00000228463	1	2	3	3
ENSG00000286448	0	0	0	0
RPL23AP24	0	0	0	0
ENSG00000236601	0	0	0	0
ENSG00000290385	29	18	16	9
WBP1LP7	0	0	0	0
OR4F29	0	0	0	0
ENSG00000237094	0	0	0	0
CICP7	0	0	0	0
ENSG00000250575	0	0	0	0
U6	34	0	1	1
ENSG00000230021	14	0	9	0
ENSG00000235146	0	0	0	0
MTND1P23	57	50	126	70
MTND2P28	3977	2962	18094	13332
MTCO1P12	515	380	1040	724
ENSG00000278791	0	0	0	0
MTCO2P12	61	29	82	69
MTATP8P1	7	7	15	6
MTATP6P1	13836	11789	106010	79529
MTCO3P12	66	75	202	199
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	0	0	0	0
ENSG00000291215	27	12	11	17
RNU6-1199P	0	0	0	0
ENSG00000229905	0	0	0	0
ENSG00000228327	0	0	0	0
LINC01409	24	84	70	85
ENSG00000285268	0	0	0	0
ENSG00000290784	0	35	2	0
ENSG00000230092	0	0	0	0
FAM87B	0	0	9	1
LINC00115	42	103	27	19
LINC01128	249	188	614	499
ENSG00000288531	0	0	0	1
FAM41C	0	0	0	0
TUBB8P11	0	0	0	0
ENSG00000283040	0	0	0	0
ENSG00000272438	0	0	2	2
ENSG00000230699	0	18	6	5
ENSG00000241180	0	0	0	0
LINC02593	0	0	17	8
SAMD11	9	21	23	14
NOC2L	370	590	1028	656
KLHL17	38	153	86	33
PLEKHN1	4	99	8	8
PERM1	0	0	0	0
ENSG00000272512	4	0	0	0
HES4	12	18	15	20
ISG15	7	93	80	40
ENSG00000231702	0	0	0	0
ENSG00000224969	14	0	2	0
AGRN	1060	3798	1403	788
ENSG00000242590	0	0	0	0
ENSG00000291156	101	60	61	41
ENSG00000273443	0	0	1	2
ENSG00000217801	0	0	0	1
RNF223	0	0	1	0
C1orf159	11	19	52	41
ENSG00000285812	1	3	12	26
LINC01342	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
ENSG00000272141	0	0	0	0
TTLL10-AS1	0	0	0	0
TTLL10	0	0	0	0
TNFRSF18	1	1	6	3
TNFRSF4	0	0	0	0
SDF4	1923	2585	3584	2108
B3GALT6	148	280	1056	668
C1QTNF12	11	66	3	0
ENSG00000260179	7	0	1	0
UBE2J2	240	460	657	507
LINC01786	0	13	4	5
SCNN1D	19	38	25	11
ACAP3	93	202	312	159
MIR6726	0	0	0	0
PUSL1	4	21	41	29
INTS11	309	615	795	385
MIR6727	0	0	0	0
ENSG00000240731	5	1	49	12
CPTP	41	163	88	58
TAS1R3	0	0	0	0
DVL1	378	497	364	209
MIR6808	0	0	0	0
MXRA8	232	994	842	496
AURKAIP1	127	366	335	158
NDUFB4P8	0	0	0	0
CCNL2	1402	1809	3948	2932
MRPL20-AS1	18	27	149	67
MRPL20	222	221	960	475
RN7SL657P	0	0	0	0
MRPL20-DT	50	78	47	18
ANKRD65	0	20	3	1
ANKRD65-AS1	0	0	0	0
TMEM88B	16	70	13	13
LINC01770	13	0	2	0
VWA1	69	160	306	181
ATAD3C	6	0	16	17
ATAD3B	29	68	128	98
ENSG00000290916	0	0	0	0
ENSG00000284740	0	0	0	0
ATAD3A	69	100	279	182
TMEM240	13	38	25	18
SSU72	1989	1969	3676	2583
ENSG00000215014	2	0	22	7
ENSG00000274481	0	0	0	0
FNDC10	6	0	47	12
ENSG00000286989	0	0	1	0
ENSG00000272106	177	63	140	97
MIB2	219	330	261	227
MMP23B	11	0	1	0
CDK11B	884	894	1180	957
ENSG00000272004	0	0	0	0
SLC35E2B	561	956	1442	868
ENSG00000269737	17	42	53	23
MMP23A	9	2	0	0
CDK11A	0	37	7	4
ENSG00000268575	28	65	39	10
ENSG00000227775	1	22	120	64
ENSG00000290854	3	0	70	21
SLC35E2A	0	0	0	0
NADK	126	304	626	390
GNB1	10680	11014	20837	13829
GNB1-DT	0	0	1	0
CALML6	14	0	10	5
TMEM52	0	0	4	2
CFAP74	0	0	0	0
ENSG00000233542	0	0	0	0
GABRD	0	0	0	0
PRKCZ-DT	0	0	0	0
PRKCZ	240	352	265	140
ENSG00000271806	0	0	0	0
PRKCZ-AS1	8	6	28	7
FAAP20	138	321	280	192
ENSG00000234396	0	0	0	0
SKI	1482	2064	3742	2501
ENSG00000287356	0	28	28	27
MORN1	22	29	81	53
ENSG00000272161	0	0	0	0
ENSG00000269896	0	24	16	15
ENSG00000272420	5	0	2	14
RER1	1482	2275	2965	1981
PEX10	58	51	153	87
PLCH2	118	101	55	60
ENSG00000224387	0	0	0	0
ENSG00000229393	0	0	0	0
PANK4	167	202	397	264
HES5	0	0	0	0
ENSG00000272449	0	0	0	0
TNFRSF14-AS1	0	0	0	0
TNFRSF14	12	0	31	22
ENSG00000225931	0	0	0	0
ENSG00000228037	0	0	2	0
ENSG00000289610	0	0	0	0
PRXL2B	135	120	301	185
MMEL1	0	0	0	0
MMEL1-AS1	0	0	0	2
TTC34	0	20	6	4
ENSG00000285945	0	0	0	0
ENSG00000283259	0	0	0	0
ENSG00000233234	0	0	4	0
ENSG00000287396	0	0	0	0
ENSG00000231630	0	0	0	0
ENSG00000284745	0	0	0	0
ACTRT2	0	0	0	0
PRDM16-DT	0	0	0	0
PRDM16	0	0	21	26
MIR4251	0	0	0	0
ENSG00000226286	0	0	0	0
ENSG00000279839	0	0	0	0
ENSG00000272235	0	0	16	0
ENSG00000287828	0	0	0	0
ENSG00000286518	0	0	0	0
ARHGEF16	42	5	24	9
ENSG00000272088	15	0	4	0
MEGF6	233	151	150	100
MIR551A	0	0	0	0
ENSG00000238260	0	0	0	6
TPRG1L	490	948	1521	974
WRAP73	91	174	168	76
TP73	0	0	0	0
TP73-AS3	0	0	0	0
TP73-AS2	0	0	0	0
TP73-AS1	300	441	346	299
ENSG00000276189	0	0	0	0
CCDC27	0	0	4	0
SMIM1	2	0	8	5
LRRC47	737	706	1085	731
RN7SL574P	0	0	2	0
ENSG00000272153	0	0	12	11
CEP104	1177	962	1654	1251
DFFB	62	47	110	70
C1orf174	222	336	600	480
LINC01134	4	0	6	2
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC02780	0	0	0	0
ENSG00000284703	0	0	1	0
EEF1DP6	0	0	0	0
LINC01777	0	0	0	0
ENSG00000284694	0	0	0	0
ENSG00000227169	0	0	0	0
LINC01646	0	0	0	0
AJAP1	0	0	2	0
ENSG00000287586	0	0	0	0
ENSG00000284739	0	0	0	0
LINC02781	0	0	0	0
LINC02782	0	0	0	0
ENSG00000284616	0	0	0	0
ENSG00000284692	0	0	0	0
ENSG00000284666	0	0	0	0
ENSG00000260972	0	0	0	0
ENSG00000283356	0	0	0	0
ENSG00000236948	0	0	0	0
ENSG00000264341	0	0	0	0
ENSG00000289893	0	0	0	0
MIR4689	0	0	0	0
NPHP4	67	151	128	67
KCNAB2	71	56	88	72
CHD5	0	30	16	1
ENSG00000285629	0	0	0	0
RPL22	3902	3431	4674	4076
RNF207-AS1	2	0	11	4
RNF207	25	49	164	114
ICMT	984	1290	3733	2172
ICMT-DT	0	0	4	8
HES3	0	0	0	0
GPR153	31	27	52	47
ACOT7	256	382	698	402
ENSG00000271746	0	0	3	0
HES2	99	36	6	2
ESPN	3	15	0	0
MIR4252	0	0	0	0
ENSG00000231868	0	0	0	0
TNFRSF25	203	176	134	132
PLEKHG5	228	397	287	224
NOL9	209	245	1077	749
RNU6-731P	0	0	0	0
ENSG00000229519	0	0	0	5
TAS1R1	0	0	0	0
ZBTB48	53	40	106	92
KLHL21	164	377	348	282
PHF13	397	466	619	354
THAP3	98	243	121	66
DNAJC11	488	487	1438	985
LINC01672	0	0	3	2
ENSG00000284744	0	0	0	0
CAMTA1-DT	14	0	11	2
CAMTA1	492	578	1128	718
ENSG00000227950	0	0	0	0
CAMTA1-AS3	0	0	0	0
RNU1-8P	0	0	0	0
CAMTA1-IT1	0	0	0	0
CAMTA1-AS2	0	0	0	0
CAMTA1-AS1	0	0	0	0
ENSG00000270171	0	0	0	0
ENSG00000270035	0	0	0	0
ENSG00000269978	0	0	5	0
VAMP3	3177	3875	7517	5573
ENSG00000269925	2	33	25	7
PER3	200	192	97	122
ENSG00000236266	0	0	0	3
UTS2	0	0	0	0
TNFRSF9	0	0	94	77
ENSG00000270330	0	0	0	0
PARK7	1553	1730	3845	2438
Y_RNA	361	445	357	304
ENSG00000284747	15	52	213	117
ENSG00000284716	0	0	4	4
ERRFI1	34273	38752	71274	49537
ERRFI1-DT	12	0	29	25
RPL7AP18	2	0	0	0
ENSG00000229305	0	0	0	0
ENSG00000288816	0	0	0	0
LINC01714	0	0	2	15
RNU1-7P	0	0	0	0
ENSG00000233645	0	0	2	0
RNU6-991P	0	0	0	0
SLC45A1	12	27	66	77
RERE	1806	1882	2844	1927
RERE-AS1	0	0	3	0
ENSG00000221083	0	0	5	0
ENSG00000270282	0	0	2	0
RPL7P11	0	0	1	1
RPL7P7	1	0	0	0
ENSG00000226545	0	0	0	0
ENSG00000228423	0	14	2	0
RPL23AP19	0	0	0	1
ENO1	27894	36791	46600	29490
MIR6728	0	0	0	0
ENO1-AS1	0	0	0	0
RNU6-304P	0	0	0	0
HMGN2P17	0	0	0	0
ENSG00000232208	0	0	0	0
ENSG00000232663	0	0	0	0
CA6	0	0	0	0
ENSG00000290109	0	0	0	0
RN7SL451P	0	0	0	0
SLC2A7	0	0	0	0
SLC2A5	0	19	8	6
ENSG00000252404	0	0	0	0
GPR157	142	168	214	153
MIR34AHG	778	379	948	773
MIR34A	0	0	0	0
ENSG00000289914	0	0	2	0
LNCTAM34A	36	93	90	63
H6PD	1498	2435	3509	2212
SPSB1	627	1210	3148	2172
ENSG00000284652	0	0	6	6
LINC02606	23	5	25	15
RNA5SP40	0	0	0	0
ENSG00000235263	0	0	0	0
SLC25A33	44	20	259	262
ENSG00000231181	18	0	3	5
TMEM201	34	24	116	64
PIK3CD	235	283	306	175
PIK3CD-AS1	0	0	0	0
ENSG00000233268	0	0	0	0
PIK3CD-AS2	20	0	51	21
CLSTN1	2609	3701	5188	3266
MZT1P1	0	0	0	0
ENSG00000280113	0	0	0	0
CTNNBIP1	162	156	427	250
ENSG00000223989	0	0	0	0
ENSG00000285701	2	0	0	0
LZIC	987	996	2447	2102
ENSG00000228150	0	0	11	0
NMNAT1	149	228	568	368
RN7SKP269	0	0	0	0
TMEM274P	0	0	0	5
MIR5697	0	0	0	0
ENSG00000241326	0	0	0	0
RBP7	0	0	2	0
UBE4B	2321	2134	3983	2899
RPL21P21	0	0	0	0
PGAM1P11	0	0	0	0
RNU6-828P	0	0	0	0
KIF1B	3350	3477	9251	5971
ENSG00000264881	0	0	0	0
RNU6-37P	0	0	2	0
RN7SL731P	0	0	0	0
ENSG00000284735	3	6	12	5
ENSG00000284642	0	0	12	11
PGD	1274	1318	5699	3395
ENSG00000271989	0	0	0	1
CENPS-CORT	0	0	0	0
CENPS	10	0	32	27
CORT	0	0	0	3
DFFA	1027	1093	2792	1912
ENSG00000203469	0	0	0	0
PEX14	133	122	324	144
ENSG00000287727	0	0	3	1
RN7SL614P	0	0	0	0
CASZ1	5	19	18	8
ENSG00000272078	0	0	0	0
HSPE1P24	0	0	0	0
C1orf127	0	0	0	0
CFL1P6	0	0	0	0
TARDBP	2254	1939	7593	5176
MASP2	97	111	173	128
SRM	345	474	1031	491
EXOSC10	1230	1477	2809	1876
ENSG00000226849	19	0	3	0
EXOSC10-AS1	0	0	0	0
MTOR	611	665	2989	1830
MTOR-AS1	0	0	0	4
RNU6-537P	0	0	0	0
ANGPTL7	0	0	49	28
RNU6-291P	0	0	0	0
RPL39P6	0	0	2	0
UBIAD1	119	238	353	251
UBE2V2P3	0	0	0	0
ENSG00000284646	0	0	0	0
MTCYBP45	0	0	0	0
DISP3	0	0	0	0
ENSG00000285833	0	0	0	0
LINC01647	0	0	0	0
ENSG00000284708	0	0	1	0
FBXO2	0	6	45	20
FBXO44	136	229	175	86
MAD2L2	235	263	245	183
FBXO6	0	43	1	5
DRAXIN	15	2	38	18
AGTRAP	23	63	50	21
C1orf167	0	0	0	0
C1orf167-AS1	0	0	0	0
MTHFR	123	334	266	124
CLCN6	643	646	508	313
ENSG00000276470	0	0	0	0
ENSG00000278852	0	0	0	0
NPPA	0	0	1	0
ENSG00000275915	0	0	0	0
NPPB	33	48	3	4
SBF1P2	0	0	0	0
ENSG00000285646	18	0	17	8
RNU5E-1	0	0	0	0
RNU5E-4P	0	0	0	0
KIAA2013	639	668	999	661
PLOD1	5410	11446	6023	3336
ENSG00000287384	0	0	0	0
MFN2	684	990	2225	1364
ENSG00000270914	0	0	0	0
MIIP	5	12	46	17
MIR6729	0	0	0	0
RN7SL649P	0	0	0	0
TNFRSF8	1	0	0	0
RNU6-777P	0	0	0	0
RPL23AP89	0	0	0	0
ENSG00000285604	0	0	0	0
MIR7846	0	0	0	0
TNFRSF1B	23	77	64	46
MIR4632	0	0	0	0
RPL10P17	0	0	0	0
SNORA70	19	2	0	2
VPS13D	1213	1499	3115	1981
SNORA59A	0	0	0	0
LINC02766	0	0	0	0
DHRS3	488	658	389	218
RNU6ATAC18P	0	0	0	0
MIR6730	0	0	0	0
ENSG00000288927	2	0	3	3
ENSG00000272482	12	0	7	3
AADACL4	0	0	0	0
ENSG00000226166	0	0	0	0
AADACL3	0	0	0	0
CFAP107	0	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
PRAMEF30P	0	0	0	0
HNRNPCL1	0	1	1	1
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
RNU6-1072P	0	0	0	0
PRAMEF29P	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF28P	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	1	0	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
PRAMEF35P	0	0	0	0
HNRNPCL2	0	0	1	0
PRAMEF36P	0	0	0	0
ENSG00000290772	0	0	0	0
ENSG00000233336	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	2	1	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF31P	0	0	8	0
PRAMEF5	0	0	0	0
PRAMEF32P	0	0	0	0
RNU6-771P	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
ENSG00000228229	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	0	0
ENSG00000259961	0	0	0	0
BRWD1P1	0	0	0	0
PDPN	152	100	173	77
RNA5SP41	0	0	0	0
ENSG00000237445	0	0	0	0
ENSG00000253085	0	0	2	0
PRDM2	765	755	3482	2344
ENSG00000289380	0	0	4	2
KAZN	273	313	143	97
RNU6-1265P	0	0	0	0
ENSG00000231606	3	0	0	0
KAZN-AS1	0	0	0	0
TBCAP2	0	0	0	0
ENSG00000287756	0	0	1	0
TMEM51-AS1	10	0	0	4
TMEM51	118	107	185	88
TMEM51-AS2	0	0	0	0
MFFP1	0	0	0	0
ZBTB2P1	0	0	0	0
FHAD1	30	0	65	52
FHAD1-AS1	0	0	0	3
ENSG00000236045	0	0	0	0
EFHD2-AS1	0	0	1	0
EFHD2	320	692	846	584
CTRC	0	0	0	0
CELA2A	0	0	0	0
CELA2B	1	0	0	0
CASP9	225	195	300	176
DNAJC16	588	934	1888	1269
SCARNA21B	0	0	0	0
ENSG00000272510	0	0	5	1
AGMAT	6	19	32	14
ENSG00000237301	1	0	0	0
CHCHD2P6	0	0	0	0
RNU7-179P	0	0	0	0
CD24P1	0	0	0	0
DDI2	789	793	1586	1080
RSC1A1	0	0	0	0
ENSG00000271742	0	0	0	0
PLEKHM2	474	1002	811	460
ENSG00000237938	0	0	16	27
SLC25A34	0	0	2	10
SLC25A34-AS1	0	0	0	0
TMEM82	0	0	0	0
